Product Code,Item Code,Product Name,Category,Sub Category,Description,Unit Price,Unit Cost,Stock WH1,Stock WH2,Balagtas,Selling Tag
BB010T,RBM-123-1,(10) Bilao Box - Top,Die-Cut Packaging Boxes,Bilao Boxes,BILAO BOX -267 x 267 x 51,11.55,8.17,,,2325,
BB010B,RBM-123-2,(10) Bilao Box - Bottom,Die-Cut Packaging Boxes,Bilao Boxes,,0, -   ,,,2325,
BB012T,RBM-124-1,(12) Bilao Box - Top,Die-Cut Packaging Boxes,Bilao Boxes,BILAO BOX - 318 x 318 x 51,15.75,12.2,,,2425,
BB012B,RBM-124-2,(12) Bilao Box - Bottom,Die-Cut Packaging Boxes,Bilao Boxes,,15.75,,,,2425,
TRP001,,Pizza Tripod,Pizza Supplies,,,1.26,,,,210000,
WXP010,,(10) Wax Paper,Pizza Supplies,,,0.95,,,,1000,
WXP011,,(11) Wax Paper,Pizza Supplies,,,1,,,,1000,
WXP012,,(12) Wax Paper,Pizza Supplies,,,1.05,,,,1000,
WXP014,,(14) Wax Paper,Pizza Supplies,,,1.26,,,,1000,
SPTC50,,Packaging Tape (Clear) 2M x 50,Packaging Supplies,Tapes,,25.2,,142,,,
SPTC75,,Packaging Tape (Clear) 2M x 75,Packaging Supplies,Tapes,,0,,1000,,,
SPTC1H,,Packaging Tape (Clear) 2M x 100,Packaging Supplies,Tapes,,36.75,,1000,,,
SPTF50,,Packaging Tape (Fragile) 2M x 50,Packaging Supplies,Tapes,,42,,138,,,
SPTF75,,Packaging Tape (Fragile) 2M x 75,Packaging Supplies,Tapes,,0,,1000,,,
SPTF1H,,Packaging Tape (Fragile) 2M x 100,Packaging Supplies,Tapes,,70.35,,216,,,
SBW00H,,Bubble Wrap Clear (Half) 20M x 100,Packaging Supplies,Wrappers,,367.5,,1000,,,
SBW00W,,Bubble Wrap Clear (Whole) 40M x 100,Packaging Supplies,Wrappers,,735,,1000,,,
SSF250,,Stretch Film 20M x 250,Packaging Supplies,Wrappers,,367.5,,1000,,,
SSF500,,Stretch Film 20M x 500,Packaging Supplies,Wrappers,,525,,1000,,,
